Goodreads Quote Id,Author,Book,ISBN,Quote,Tags,Quote Popularity,Order
327819,"J.R.R. Tolkien","The Lord of the Rings","0618640150","Moonlight drowns out all but the brightest stars.","light, moon, sense-of-wonder, stars",2439,1
8529111,"Sarah J. Maas","A Court of Wings and Ruin (A Court of Thorns and Roses, #3)","1408857901","Kindness can thrive even amongst cruelty.","a-court-of-wings-and-ruin, acowar, rhys, rhysand, sarah-j-maas",752,2
156943,"Charles Swindoll","","","Anything under God's control is never out of control.","god, hope, inspirational, jesus, relationship",483,3
25184,"Harper Lee","To Kill a Mockingbird","","You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.","better-life-empathy",18366,4
922,"Sylvia Plath","The Bell Jar","0571268862","I took a deep breath and listened to the old brag of my heart. I am, I am, I am.","breath, existence",9741,5
1535174,"Jay Asher","Thirteen Reasons Why","1595141715","No one know for certain how much impact they have on the lives of other people. Oftentimes,  we have no clue.","13, reasons-why",41,6
31708,"Nicholas Sparks","A Walk to Remember","0446693804","Love is like the wind, you can't see it but you can feel it.","love, simile",22932,7
3616,"Nicholas Sparks","The Notebook","0446520802","I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..","love",24495,8
72160,"Haruki Murakami","Norwegian Wood","","If you only read the books that everyone else is reading, you can only think what everyone else is thinking.","books, thought",31221,9
8526,"Haruki Murakami","Kafka on the Shore","","Memories warm you up from the inside. But they also tear you apart.","memories",16594,10
6010,"Haruki Marukami","","","Whatever it is you're seeking won't come in the form you're expecting.","expectation",6490,11
322452,"Haruki Murakami","Kafka on the Shore","","If you remember me, then I don't care if everyone else forgets.","inspirational, love",7467,12
217203,"Haruki Murakami","Norwegian Wood","","Nobody likes being alone that much. I don't go out of my way to make friends, that's all. It just leads to disappointment. ","",5645,13
17177,"Kurt Vonnegut","","","Those who believe in telekinetics, raise my hand.","humour, telekinetics",10125,14
54454,"Neil Gaiman","Stardust","0061142026","She says nothing at all, but simply stares upward into the dark sky and watches, with sad eyes, the slow dance of the infinite stars.","",3702,15
2534,"Stephen Chbosky","The Perks of Being a Wallflower","","We accept the love we think we deserve.","inspirational, love",76368,16
122415,"Plato","","","Writing is the geometry of the soul. ","writing",222,17
